absolute_temperature_distance_C,amendment,aug_r2_fold_0,aug_r2_fold_1,aug_r2_fold_2,aug_r2_fold_3,aug_r2_fold_4,aug_r2_mean,aug_rmse_mean,base_r2_fold_0,base_r2_fold_1,base_r2_fold_2,base_r2_fold_3,base_r2_fold_4,base_r2_mean,base_rmse_mean,bootstrap_articles,delta_r2_mean,discovery_selected,edge_status,edge_status_refined,effect_fold_0,effect_fold_1,effect_fold_2,effect_fold_3,effect_fold_4,effect_year1_to_year2,effect_years1_2_to_year3,evidence_set,fraction_repeats_positive,independent_formulations,learner,learners_positive_of_three,mse_improvement_mean,neighborhood,permutation_p_holm,permutation_p_holm_refined,permutation_p_raw,permutation_p_raw_refined,permutations,pooled_aug_r2,pooled_base_r2,primary_permutation_p,primary_positive_learners_of_three,rationale,raw_source_birdshot_key_overlap,raw_source_target_evaluation_key_overlap,raw_source_target_key_overlap,relation,relative_rmse_ci_hi,relative_rmse_ci_lo,relative_rmse_improvement_mean,repeats,source,source_domain,source_group_cv_r2_mean,source_label,source_model_evaluation_key_overlap_after_exclusion,source_pooled_article_oof_r2,source_pooled_oof_r2,source_temperature_C,source_test_articles_seen_during_fit,source_test_exact_chemistry_seen_during_fit,source_test_formulations_seen_during_fit,stage,synthesis_status,target,target_articles,target_domain,target_equivalence_status,target_equivalent_n,target_label,target_sample_fraction_saved,target_temperature_C,target_units,test_groups,test_n,test_n_total_per_repeat,test_n_year2,test_n_year3,train_n
,,,,,,,0.2121574096054481,24.79674330583175,,,,,,0.2382294362964,24.33994758346764,,-0.0260720266909518,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.19,,ridge-primary,0.0,-20.77115827550383,0.0,,,,,,,,,,unrelated mechanical endpoint,,0.0,,distant-control,0.0009228976673959,-0.0413815044457202,-0.0207229036765535,100.0,alloy_ys,multi-principal-element alloy,0.3150891531964627,Alloy yield strength,0.0,,,,,,,confirmation,unresolved,catalysis_h2,,CO2 electroreduction,interpolated,28.45070759139548,CO2R H2 Faradaic efficiency,-0.0544553207904425,,,9.0,43.0,,,,30
,,,,,,,0.2418619441250583,24.285436693155223,,,,,,0.2382294362964,24.33994758346764,,0.0036325078286583,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.66,,ridge-primary,1.0,2.893959719374384,0.0,,,,,,,,,,different electrochemical material function,,0.0,,distant-control,0.0101203953283618,-0.0029788419783767,0.002187213927931,100.0,electrolyte_conductivity,solid electrolyte,0.4100609069794871,Solid-electrolyte ionic conductivity,0.0,,,,,,,confirmation,practically-equivalent,catalysis_h2,,CO2 electroreduction,interpolated,33.58560125310666,CO2R H2 Faradaic efficiency,0.1067600733446745,,,9.0,43.0,,,,30
,,,,,,,-3.819728253933936,4.667334487754132,,,,,,-3.941349039110219,4.688896389648386,,0.1216207851762827,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.55,,ridge-primary,1.0,0.8474568183327262,2.0,,,,,,,,,,composition-mediated charge transport,,0.0,,cross-domain-transport,0.033498258344538,-0.0187215696474215,0.0014424800835108,100.0,te_electrical,thermoelectric,0.3428031662453789,Thermoelectric electrical conductivity,0.0,,,,,,,confirmation,unresolved,electrolyte_conductivity,,solid electrolyte,no-savings,8.0,Solid-electrolyte ionic conductivity,-2.75,,,22.0,55.0,,,,30
,,,,,,,-3.747836602785221,4.660496180977963,,,,,,-3.941349039110219,4.688896389648386,,0.1935124363249971,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.59,,ridge-primary,1.0,1.3483997275473658,1.0,,,,,,,,,,electronic transport composite,,0.0,,cross-domain-transport,0.0534010605368638,-0.0320432119510801,0.0017783011190597,100.0,te_power_factor,thermoelectric,0.4310351864936504,Thermoelectric power factor,0.0,,,,,,,confirmation,unresolved,electrolyte_conductivity,,solid electrolyte,no-savings,8.0,Solid-electrolyte ionic conductivity,-2.75,,,22.0,55.0,,,,30
,uniform-post-discovery-resolution-refinement,,,,,,-3.864675210955014,4.719040058988451,,,,,,-3.941349039110219,4.688896389648386,,0.0766738281552051,1.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.18,,ridge-primary,1.0,0.5342652439187795,1.0,0.76,0.76,0.76,0.76,999.0,,,,,lattice transport context,,0.0,,cross-domain-transport,0.0711297394748681,-0.04439556758384,-0.0204955927912856,100.0,te_thermal,thermoelectric,0.5713319598750842,Thermoelectric thermal conductivity,0.0,,,,,,,confirmation,unresolved,electrolyte_conductivity,,solid electrolyte,no-savings,8.0,Solid-electrolyte ionic conductivity,-2.75,,,22.0,55.0,,,,30
,,,,,,,-3.76215383989994,4.6482257698424645,,,,,,-3.941349039110219,4.688896389648386,,0.1791951992102793,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.51,,ridge-primary,1.0,1.2486368441309526,0.0,,,,,,,,,,mechanical endpoint,,0.0,,distant-control,0.0397593894927855,-0.0057060463353348,0.000153555959317,100.0,alloy_ys,multi-principal-element alloy,0.3150891531964627,Alloy yield strength,0.0,,,,,,,confirmation,unresolved,electrolyte_conductivity,,solid electrolyte,no-savings,8.0,Solid-electrolyte ionic conductivity,-2.75,,,22.0,55.0,,,,30
,,,,,,,-3.99744352714848,4.708241656364538,,,,,,-3.941349039110219,4.688896389648386,,-0.0560944880382616,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.4,,ridge-primary,0.0,-0.390867862676641,0.0,,,,,,,,,,surface selectivity endpoint,,0.0,,distant-control,0.0017437939863631,-0.0107013984996186,-0.0044133778291427,100.0,catalysis_h2,CO2 electroreduction,0.2364169130709764,CO2R H2 Faradaic efficiency,0.0,,,,,,,confirmation,practically-equivalent,electrolyte_conductivity,,solid electrolyte,no-savings,8.0,Solid-electrolyte ionic conductivity,-2.75,,,22.0,55.0,,,,30
,,,,,,,0.1330928105755909,2.6606232361548434,,,,,,0.1300489735679148,2.6652858869837326,,0.003043837007676,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.81,,ridge-primary,1.0,0.025010139922042,3.0,,,,,,,,,,aqueous solvation contribution,,71.0,,cross-dataset-thermodynamic,0.0028045938244483,0.0006662728583404,0.0017459938939196,100.0,hydration,aqueous molecular thermodynamics,0.4627047025931091,Hydration free energy,0.0,,,,,,,confirmation,practically-equivalent,solubility,,aqueous molecular thermodynamics,interpolated,34.815630485235666,Aqueous solubility,0.1383180605411652,,,395.0,750.0,,,,30
,,,,,,,0.1295414359376378,2.6660812246465286,,,,,,0.1300489735679148,2.6652858869837326,,-0.0005075376302769,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.4,,ridge-primary,0.0,-0.0041702584983748,2.0,,,,,,,,,,ionization controls apparent solubility,,61.0,,cross-dataset-ionization,0.0001818453623284,-0.0009160661533992,-0.0003054386323107,100.0,pka_acid,aqueous molecular acid-base,0.2801971413180322,Molecular pKa,0.0,,,,,,,confirmation,practically-equivalent,solubility,,aqueous molecular thermodynamics,interpolated,34.35099913355666,Aqueous solubility,0.1266629572153048,,,395.0,750.0,,,,30
,,,,,,,0.1296292031970502,2.66596946437734,,,,,,0.1300489735679148,2.6652858869837326,,-0.0004197703708645,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.38,,ridge-primary,0.0,-0.0034491057451418,2.0,,,,,,,,,,protonation controls apparent solubility,,60.0,,cross-dataset-ionization,0.0007812229868063,-0.0010172141355975,-0.0002744268585995,100.0,pka_base,aqueous molecular acid-base,0.380264346927831,Molecular conjugate-acid pKa,0.0,,,,,,,confirmation,practically-equivalent,solubility,,aqueous molecular thermodynamics,interpolated,34.36051313766579,Aqueous solubility,0.1269047735170701,,,395.0,750.0,,,,30
,,,,,,,0.1297266016091321,2.665749491306836,,,,,,0.1300489735679148,2.6652858869837326,,-0.0003223719587827,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.43,,ridge-primary,0.0,-0.0026488171921708,0.0,,,,,,,,,,optical endpoint,,0.0,,distant-control,0.0007262375127371,-0.0007566676244658,-0.0001631881543417,100.0,photo_e_pipi,molecular photoswitch,-0.2948152287337262,Photoswitch E π-π* wavelength,0.0,,,,,,,confirmation,practically-equivalent,solubility,,aqueous molecular thermodynamics,interpolated,34.37923915462911,Aqueous solubility,0.1273803394814062,,,395.0,750.0,,,,30
,,,,,,,0.1292929427491469,2.666491792602617,,,,,,0.1300489735679148,2.6652858869837326,,-0.0007560308187679,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.36,,ridge-primary,0.0,-0.0062120397758083,0.0,,,,,,,,,,polymer thermal endpoint,,0.0,,distant-control,-0.0001549305200081,-0.0007691674606516,-0.000470941052322,100.0,polymer_tg,polymer,0.3316237910651871,Polymer glass-transition temperature,0.0,,,,,,,confirmation,practically-equivalent,solubility,,aqueous molecular thermodynamics,interpolated,34.31604802571097,Aqueous solubility,0.1257734580181614,,,395.0,750.0,,,,30
,,,,,,,0.1508157860622247,3.5894478339680016,,,,,,0.1527750167290332,3.5855713464357333,,-0.0019592306668084,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.5,,ridge-primary,0.0,-0.0297992704455889,3.0,,,,,,,,,,aqueous dissolution relation,,208.0,,cross-dataset-thermodynamic,0.0118553656879393,-0.01535272471563,-0.0010346337246547,100.0,solubility,aqueous molecular thermodynamics,0.4096569899012556,Aqueous solubility,0.0,,,,,,,confirmation,practically-equivalent,hydration,,aqueous molecular thermodynamics,interpolated,30.92018429310291,Hydration free energy,0.0297599873396668,,,80.0,128.0,,,,30
,,,,,,,0.1551261263557729,3.580538131581114,,,,,,0.1527750167290332,3.5855713464357333,,0.0023511096267397,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.77,,ridge-primary,1.0,0.0357596238163073,1.0,,,,,,,,,,charge-state context,,21.0,,cross-dataset-ionization,0.0056553129406992,-0.0013880527489336,0.0014155570556944,100.0,pka_acid,aqueous molecular acid-base,0.2672451463592924,Molecular pKa,0.0,,,,,,,confirmation,practically-equivalent,hydration,,aqueous molecular thermodynamics,interpolated,31.948957954749467,Hydration free energy,0.0610022385553184,,,80.0,128.0,,,,30
,,,,,,,0.1534516030500184,3.584158894811351,,,,,,0.1527750167290332,3.5855713464357333,,0.0006765863209851,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.64,,ridge-primary,1.0,0.0102906610744646,1.0,,,,,,,,,,charge-state context,,59.0,,cross-dataset-ionization,0.003326616987951,-0.0026129943323794,0.0003871441047129,100.0,pka_base,aqueous molecular acid-base,0.380404898658279,Molecular conjugate-acid pKa,0.0,,,,,,,confirmation,practically-equivalent,hydration,,aqueous molecular thermodynamics,interpolated,31.53088048318224,Hydration free energy,0.0485517835126351,,,80.0,128.0,,,,30
,,,,,,,0.1592453438969609,3.571989058900728,,,,,,0.1527750167290332,3.5855713464357333,,0.0064703271679276,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.83,,ridge-primary,1.0,0.0984116022758063,0.0,,,,,,,,,,optical endpoint,,0.0,,distant-control,0.0105983353069248,-0.0011863846440559,0.0037397453788833,100.0,photo_e_pipi,molecular photoswitch,-0.2948152287337262,Photoswitch E π-π* wavelength,0.0,,,,,,,confirmation,practically-equivalent,hydration,,aqueous molecular thermodynamics,interpolated,32.93609090523122,Hydration free energy,0.0891450935595055,,,80.0,128.0,,,,30
,,,,,,,0.1648882520599203,3.5597185140414727,,,,,,0.1527750167290332,3.5855713464357333,,0.012113235330887,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.93,,ridge-primary,1.0,0.184238426700501,0.0,,,,,,,,,,polymer thermal endpoint,,0.0,,distant-control,0.0125540113852403,0.0025119569112789,0.007231633326786,100.0,polymer_tg,polymer,0.3316237910651871,Polymer glass-transition temperature,0.0,,,,,,,confirmation,practically-equivalent,hydration,,aqueous molecular thermodynamics,interpolated,34.35292985417664,Hydration free energy,0.1267120409424818,,,80.0,128.0,,,,30
,uniform-post-discovery-resolution-refinement,,,,,,-0.4261285626648821,24.84134582691956,,,,,,-0.5509388256694087,25.94309418848532,,0.1248102630045264,1.0,suggestive-not-confirmed,suggestive-not-confirmed,,,,,,,,internal-confirmation,0.93,,ridge-primary,3.0,54.94576812738335,3.0,0.05,0.005,0.01,0.001,999.0,,,,,paired E/Z electronic transition,,45.0,,physical-neighbor,0.0483768768296509,-0.002527183599463,0.0432749907050125,100.0,photo_e_pipi,molecular photoswitch,-0.2385782814668441,Photoswitch E π-π* wavelength,0.0,,,,,,,confirmation,suggestive-not-confirmed,photo_z_pipi,,molecular photoswitch,right-censored-at-largest-learning-curve-budget,48.0,Photoswitch Z π-π* wavelength,0.5833333333333334,,,4.0,16.0,,,,20
,,,,,,,-0.5291780085959739,25.765913752818527,,,,,,-0.5509388256694087,25.94309418848532,,0.0217608170734348,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.92,,ridge-primary,1.0,9.57985970381293,2.0,,,,,,,,,,same-isomer electronic transition,,44.0,,same-state-neighbor,0.0726440791244136,0.004060164488548,0.0066229823717397,100.0,photo_z_npi,molecular photoswitch,-0.9731151172748196,Photoswitch Z n-π* wavelength,0.0,,,,,,,confirmation,unresolved,photo_z_pipi,,molecular photoswitch,right-censored-at-largest-learning-curve-budget,48.0,Photoswitch Z π-π* wavelength,0.5833333333333334,,,4.0,16.0,,,,20
,,,,,,,-0.5726121691711121,26.125024914478228,,,,,,-0.5509388256694087,25.94309418848532,,-0.0216733435017032,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.1,,ridge-primary,0.0,-9.54135083063266,2.0,,,,,,,,,,other-isomer electronic transition,,35.0,,same-domain,0.0069529846410461,-0.009055388018268,-0.0070517563050991,100.0,photo_e_npi,molecular photoswitch,-2.233173711312534,Photoswitch E n-π* wavelength,0.0,,,,,,,confirmation,practically-equivalent,photo_z_pipi,,molecular photoswitch,right-censored-at-largest-learning-curve-budget,48.0,Photoswitch Z π-π* wavelength,0.5833333333333334,,,4.0,16.0,,,,20
,,,,,,,-0.5530289760616824,25.9565391357103,,,,,,-0.5509388256694087,25.94309418848532,,-0.0020901503922738,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.47,,ridge-primary,0.0,-0.92015605159867,0.0,,,,,,,,,,acid-base endpoint,,0.0,,distant-control,0.0003226836812518,-0.0043988248351277,-0.0003767770117531,100.0,pka_acid,aqueous molecular acid-base,0.2614225157137268,Molecular pKa,0.0,,,,,,,confirmation,practically-equivalent,photo_z_pipi,,molecular photoswitch,right-censored-at-largest-learning-curve-budget,48.0,Photoswitch Z π-π* wavelength,0.5833333333333334,,,4.0,16.0,,,,20
,,,,,,,-0.5388929060586558,25.83762864657709,,,,,,-0.5509388256694087,25.94309418848532,,0.0120459196107529,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.86,,ridge-primary,1.0,5.303027891140057,0.0,,,,,,,,,,aqueous bulk endpoint,,0.0,,distant-control,0.0127379929360058,-0.0246261565969675,0.0042318146568444,100.0,solubility,aqueous molecular thermodynamics,0.4076258236447208,Aqueous solubility,0.0,,,,,,,confirmation,unresolved,photo_z_pipi,,molecular photoswitch,right-censored-at-largest-learning-curve-budget,48.0,Photoswitch Z π-π* wavelength,0.5833333333333334,,,4.0,16.0,,,,20
,,,,,,,-0.0141475060031539,0.4000560867096805,,,,,,-0.0513569964727352,0.4065165262286651,,0.0372094904695812,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.8,,ridge-primary,1.0,0.0060210678403186,3.0,,,,,,,,,,paired mechanical response,,32.0,,physical-neighbor,0.0367129051222456,0.0017125713466934,0.0138397895769363,100.0,polymer_young,polymer,-0.0170639455360029,Polymer Young's modulus,0.0,,,,,,,confirmation,unresolved,polymer_tensile,,polymer,interpolated,17.625572830602934,Polymer tensile strength,0.1489638297624122,,,14.0,16.0,,,,15
,,,,,,,-0.0528200462536678,0.4068239078524076,,,,,,-0.0513569964727352,0.4065165262286651,,-0.0014630497809326,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.49,,ridge-primary,0.0,-0.0002367439562753,2.0,,,,,,,,,,mechanical resistance,,20.0,,physical-neighbor,0.0022747619758083,-0.0037847775342131,-0.0008125021833869,100.0,polymer_hardness,polymer,-1.2294345140638012,Polymer hardness,0.0,,,,,,,confirmation,practically-equivalent,polymer_tensile,,polymer,interpolated,15.169163175353622,Polymer tensile strength,0.011151780318935,,,14.0,16.0,,,,15
,,,,,,,-0.0305809104899686,0.402889187228413,,,,,,-0.0513569964727352,0.4065165262286651,,0.0207760859827666,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.75,,ridge-primary,1.0,0.0033618902484245,2.0,,,,,,,,,,strength-ductility relation,,30.0,,same-domain,0.0212682207766175,-0.0024943052229512,0.0078988602610362,100.0,polymer_elongation,polymer,-0.1510138978018874,Polymer elongation at break,0.0,,,,,,,confirmation,unresolved,polymer_tensile,,polymer,interpolated,16.597286869472747,Polymer tensile strength,0.0962378298353463,,,14.0,16.0,,,,15
,,,,,,,-0.0491963162206451,0.4062055103685635,,,,,,-0.0513569964727352,0.4065165262286651,,0.00216068025209,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.56,,ridge-primary,1.0,0.0003496312960723,1.0,,,,,,,,,,chain mobility context,,32.0,,same-domain,0.0090036485793816,-0.0075814457010727,0.000388235171121,100.0,polymer_tg,polymer,0.3319578096337998,Polymer glass-transition temperature,0.0,,,,,,,confirmation,practically-equivalent,polymer_tensile,,polymer,interpolated,15.393613189333212,Polymer tensile strength,0.0255699025623146,,,14.0,16.0,,,,15
,,,,,,,-0.0617438505619889,0.4084067479620319,,,,,,-0.0513569964727352,0.4065165262286651,,-0.0103868540892536,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.34,,ridge-primary,0.0,-0.0016807527415623,0.0,,,,,,,,,,small-molecule optical endpoint,,0.0,,distant-control,0.0072987953508483,-0.0175688287978365,-0.0044905357983814,100.0,photo_e_pipi,molecular photoswitch,-0.2948152287337262,Photoswitch E π-π* wavelength,0.0,,,,,,,confirmation,practically-equivalent,polymer_tensile,,polymer,interpolated,14.759962661613004,Polymer tensile strength,-0.0162627334424953,,,14.0,16.0,,,,15
,,,,,,,-0.4663381011671571,79.74552014318095,,,,,,-0.4481302659957792,79.21459063862714,,-0.0182078351713778,0.0,unresolved,unresolved,,,,,,,,internal-confirmation,0.24,,ridge-primary,0.0,-80.23517210933255,3.0,,,,,,,,,,paired polymer thermal transitions,,34.0,,physical-neighbor,0.0179379409838026,-0.0273916981904679,-0.0071202196039462,100.0,polymer_tg,polymer,0.3201100070924658,Polymer glass-transition temperature,0.0,,,,,,,confirmation,unresolved,polymer_tm,,polymer,no-savings,8.0,Polymer melting temperature,-0.875,,,15.0,17.0,,,,15
,,,,,,,-0.4364294554926405,78.91766046271009,,,,,,-0.4481302659957792,79.21459063862714,,0.0117008105031386,0.0,practically-equivalent,practically-equivalent,,,,,,,,internal-confirmation,0.79,,ridge-primary,1.0,51.56112935456511,3.0,,,,,,,,,,crystallization-melting relation,,23.0,,physical-neighbor,0.007083154258368,0.0009816715116304,0.0034202289672283,100.0,polymer_crystallization,polymer,0.0099440194363701,Polymer crystallization temperature,0.0,,,,,,,confirmation,practically-equivalent,polymer_tm,,polymer,no-savings,8.0,Polymer melting temperature,-0.875,,,15.0,17.0,,,,15
