cell_id,batch,life,censored,theta_log10_a,theta_beta,own_theta_log10_a,own_theta_beta,own_log10_life,log10_var_delta_qv,log10_abs_min_delta_qv,log10_var_delta_qv_normalized,log10_abs_min_delta_qv_normalized,capacity_slope_2_100,capacity_intercept_2_100,capacity_slope_over_qref,capacity_intercept_over_qref,qd100_over_qref,ce_mean_10_100,ce_std_10_100,mean_charge_c_rate,mean_discharge_c_rate
b1c10,batch1,906.0,False,-6.360278569601278,1.7354244014006235,-2.881979327051887,-0.3329025181658133,5.0,-3.9840612435351797,-1.5507145615818687,-4.032156952773103,-1.560891360679567,2.1554883116883573e-05,1.0806606060115433,1.9910574310613823e-05,0.9982226850347538,0.9990900481043193,1.0006991982361337,0.0004943303969070274,4.714285714285715,4.0
b1c11,batch1,788.0,False,-6.539239924086209,1.8548950240623756,-2.9279535182042613,-0.2592274274521786,5.0,-4.092276470242922,-1.6049402016503624,-4.124369447962424,-1.6059765303189053,1.8141972789115552e-05,1.059213580599876,1.7101590679492363e-05,0.9984711865760475,0.9991343614664443,1.0005530299441951,0.00048775093327487607,4.714285714285715,4.0
b1c12,batch1,902.0,False,-6.540478689850073,1.8112115455944549,-3.1569149949691284,-0.15764107530030763,5.0,-4.073286077273437,-1.5506485381695951,-4.132032231916423,-1.5776416997052716,9.54763265306268e-06,1.0817089636639863,8.817914107240674e-06,0.9990347426659352,0.9992044361688401,1.0003453540065175,3.678800011471583e-05,4.885714285714286,4.0
b1c13,batch1,897.0,False,-6.504818432890817,1.8035505483492436,-4.110507436777246,0.40823413639006184,5.0,-4.019283340165239,-1.530247768945848,-4.0931637667185425,-1.568060797490613,1.259766233764754e-06,1.0842456600028856,1.1612354092867715e-06,0.9994429275963364,0.9988664792367608,1.000196749446177,4.434386917244215e-05,4.885714285714286,4.0
b1c14,batch1,880.0,False,-6.722174812763921,1.9059535517832051,-1.9602863229597993,-0.9702573889969641,5.0,-4.039720008249401,-1.5469228784438769,-4.091105102630408,-1.5690421648219601,2.1304357452070155e-05,1.0751031131234794,1.9787074672635156e-05,0.9985349536129609,0.9995317088031223,1.0006889325069201,0.0004327306178898793,4.8,4.0
b1c15,batch1,719.0,False,-6.502287998663034,1.8482695216652507,-2.0957044147369555,-0.7782244110355788,5.0,-4.017499860578684,-1.5392391613960743,-4.063194314943516,-1.5569664271990937,2.3065202226345313e-05,1.0665856039793853,2.158744652681978e-05,0.99825093516334,0.9992704414900627,1.0006382211539837,0.0004605167363776366,4.8,4.0
b1c16,batch1,862.0,False,-6.5311881683629975,1.829074769741977,-2.4162097320747558,-0.6332185729693595,5.0,-4.097771366597967,-1.5585259833497396,-4.164263670949324,-1.5909607095400604,1.827402226345242e-05,1.0856142177938564,1.681042434858528e-05,0.9986655054301325,0.9992485269278772,1.0005785559846654,0.0007184614591117217,4.95,4.0
b1c17,batch1,857.0,False,-6.931440304765515,1.9684796239031066,-2.807471859075416,-0.44222752073284843,5.0,-3.991511636892535,-1.5198899372374468,-4.019597923814555,-1.5248540830291346,1.4345563388985684e-05,1.0764271661661513,1.3313310531594307e-05,0.9989715105101432,0.9994764905171563,1.000232551820784,0.00013028604947296323,4.95,4.0
b1c18,batch1,691.0,False,-5.732742560972026,1.687120721382037,-6.068529602801426,1.850961217733201,2.9009573766441714,-3.6616122637347246,-1.3612411527980088,-3.760317948567553,-1.4241014932703,-5.106291898577515e-05,1.0707316533127187,-4.771817104797276e-05,1.0005960723375078,0.9946799990804546,0.9013331558056142,0.1553819667266055,4.866666666666667,4.0
b1c19,batch1,788.0,False,-6.898997265765014,2.058151056501829,-5.948391413166431,1.5084224314625545,3.480073817080945,-3.6307966714328646,-1.3499330503905975,-3.7078783704254383,-1.3902399960096055,-1.2907808286952827e-05,1.0890736992327348,-1.1852073029754422e-05,0.9999978874134907,0.9981240060381462,1.0000915778569461,0.00020038788075837696,4.866666666666667,4.0
b1c20,batch1,534.0,False,-4.753458404696596,1.4423737939338235,-4.563217194495554,1.3238244487328412,2.919002737756033,-3.3597012691479575,-1.2031426714975273,-3.5374960058908025,-1.2734745899325968,-0.00014633830674087384,1.0772494708155014,-0.00013604294405104007,1.0014615636264719,0.986403729073766,1.0006077510123303,0.0007813073304900767,5.4,4.0
b1c21,batch1,559.0,False,-5.184983364088238,1.5575195909092223,-4.6495725176672815,1.2383940081835045,3.1901014436641755,-3.3383363424833425,-1.1870203388694036,-3.4657554514507107,-1.240242536474231,-8.816384044527224e-05,1.0867311376808901,-8.1197298949217e-05,1.000859679184152,0.9915397684117399,1.000876596678647,0.0008030436588497668,5.4,4.0
b1c22,batch1,891.0,False,-5.8158516974763526,1.5482154133791308,-4.321245055352973,0.709743115143635,5.0,-3.9393233114425943,-1.4874852819039355,-4.02562700906714,-1.5349868419723247,-9.515616573901705e-06,1.0835122328089046,-8.778049723900673e-06,0.9995279004975024,0.9981626790550763,1.0002065187582425,0.0002048911134924331,5.04,4.0
b1c23,batch1,1014.0,False,-6.007337645743209,1.6271228514442233,-4.208430123128176,0.6534545307635751,5.0,-4.024437135504007,-1.5201248513465946,-4.1126243043639334,-1.5689107476547488,-9.374347557204051e-06,1.0829824462708715,-8.652122850055383e-06,0.9995465937667628,0.9983300009958708,1.000119903253716,0.00020624203658927573,5.04,4.0
b1c24,batch1,1017.0,False,-6.5972374777018885,1.8451644811111054,-3.930600547267015,0.30196207185229385,5.0,-3.921005821496969,-1.4932298773976334,-3.9893235294633778,-1.528791546628848,8.04197897339733e-07,1.0781006970183462,7.455586645877741e-07,0.9994894523090093,0.9990543747498033,1.0001040026408323,0.0003272090981553207,5.0,4.0
b1c25,batch1,854.0,False,-6.609086731021088,1.8968966681080635,-4.3083435026006835,0.562084678671147,5.0,-3.9962943982249515,-1.515875323295711,-4.069905139172798,-1.5560029320242257,-2.6295126778083656e-06,1.0790211980758606,-2.4358066179961897e-06,0.9995338670213111,0.9985828944672303,1.000525795163166,0.00012685025741749148,5.0,4.0
b1c26,batch1,870.0,False,-6.730370060502714,1.9416860063698045,-6.000584038082391,1.5717411353039226,3.373083464358917,-3.7768596164081227,-1.4091225126083147,-3.8735220886976887,-1.4634112924242415,-1.635896351267487e-05,1.0915144808765196,-1.4988827313531314e-05,1.0000952720140768,0.9981315921003142,1.0000227519431466,0.0007038214072012025,5.2,4.0
b1c27,batch1,842.0,False,-6.679819634412932,1.9195823734477742,-5.368603770217435,1.2119264716070957,3.8530668941401776,-3.8280886037263513,-1.434542853881915,-3.911662151805283,-1.4828079316981657,-1.2840094001241579e-05,1.0827643912587093,-1.1858163367946398e-05,0.999961296178928,0.9983433786818564,0.9999775843017794,0.0003952140026431155,5.2,4.0
b1c28,batch1,860.0,False,-6.974339584996762,2.0307328581507975,-5.376042262660818,1.1447517077966398,4.085665237684591,-3.8257176851593147,-1.4232678241336607,-3.9109415243743686,-1.4705044610006364,-1.0185139146564742e-05,1.0812327683591008,-9.42010509360806e-06,1.0000183759915378,0.9985368284081702,1.0007851813231086,0.00020212811052056076,5.142857142857142,4.0
b1c29,batch1,917.0,False,-6.615948677649139,1.8897191729327953,-4.933857129714837,0.9189260974570287,4.60851763498517,-3.826574520441884,-1.4253746175536066,-3.9088572762514837,-1.4701702829044412,-7.840306740875214e-06,1.083204950593279,-7.236772238681946e-06,0.9998215343270144,0.9985346109551767,1.0002085579587654,0.0001835965601990252,5.142857142857142,4.0
b1c30,batch1,709.0,False,-6.727203332505974,1.9847790337062798,-6.187868174672656,1.6967901405814283,3.234871560755175,-3.74133600615177,-1.3933172378046121,-3.8324569234640755,-1.4470731266543968,-1.9529816944960108e-05,1.0838676115732833,-1.8021295728506966e-05,1.000147559690942,0.9978389929313966,1.000223242236877,0.0003716547572485393,5.314285714285714,4.0
b1c31,batch1,876.0,False,-6.171191954247771,1.7442302222069748,-6.636715450942756,2.0578895618967987,2.8853567055045444,-3.771685410531792,-1.3948618668238257,-3.8884889744522564,-1.4627201756890746,-2.8567704390849945e-05,1.0985774084794888,-2.6011099438171505e-05,1.000262597986039,0.9973053540552623,1.0002693059348913,0.0003454523207056618,5.314285714285714,4.0
b1c32,batch1,731.0,False,-7.024319128499815,2.0983044756243534,-6.063254542287508,1.5930211817261781,3.367365481065868,-3.643287444862032,-1.3389713810736692,-3.7288723743413303,-1.386952717233544,-1.5311762523195196e-05,1.0814665120098947,-1.4159978540710937e-05,1.0001162556798882,0.9981485023038066,1.0003655662700417,0.00018311010206180643,5.249999999999999,4.0
b1c33,batch1,757.0,False,-6.605024979534819,1.949795509418431,-6.449972063590565,1.9055689533201143,3.0179973541416327,-3.6704909955048044,-1.3478720258814778,-3.78309716735788,-1.4088386548651224,-2.472754483611858e-05,1.0967641118573483,-2.2551219137187113e-05,1.00023548606291,0.9974584724076724,1.000427679294987,0.00018678996614256876,5.249999999999999,4.0
b1c34,batch1,742.0,False,-6.269625280342587,1.7751587185113862,-4.014947221101233,0.48135365744807,5.0,-3.8393732563406258,-1.4274527424743768,-3.914685728137581,-1.4662471259796597,-2.760143475578023e-06,1.080306047115234,-2.553355865445532e-06,0.9993704335606325,0.9985402224227388,1.0000273612919413,0.0003472190971161362,5.640000000000001,4.0
b1c35,batch1,703.0,False,-6.291574979795211,1.7934055193956457,-3.5169580662406266,0.21277898776674375,5.0,-3.750718327315128,-1.3986535488766212,-3.816812645366474,-1.4326381461956996,4.193815708076048e-07,1.0745636246712016,3.899596603757769e-07,0.999177110529691,0.9985930522388516,1.0000573424387444,0.00035805991401115114,5.640000000000001,4.0
b1c36,batch1,704.0,False,-6.695475495635877,1.9724538048742315,-5.118246558121454,1.0622199410529185,4.160415732173938,-3.65224227255993,-1.3496652371442477,-3.7363117974576787,-1.3958248908328237,-1.0693964131107654e-05,1.0818912689383626,-9.882993367732921e-06,0.999846652227223,0.9982820686374066,1.0002065292372673,0.0002934304140898102,5.666666666666666,4.0
b1c37,batch1,648.0,False,-6.4903729888368344,1.9217002779016914,-4.826914603641072,0.9532339799617369,4.330463124563342,-3.6568594320993486,-1.348614827264381,-3.7381938642249333,-1.3949981543156578,-1.3147432282005127e-05,1.078763956420119,-1.2185220270717764e-05,0.9998132066503692,0.9979617513256912,1.0001194886599296,0.0002893912667925415,5.666666666666666,4.0
b1c38,batch1,617.0,False,-7.400972842083418,2.2702904863608775,-6.018465757882171,1.5459900869182972,3.440834322650659,-3.4295126605892197,-1.238255645977776,-3.503935567939204,-1.2780563585067064,-1.1715589363026563e-05,1.0764175970777157,-1.0883496027632343e-05,0.9999656251900598,0.9985308251736768,0.9999342893819626,0.0002204481082151507,5.866666666666666,4.0
b1c39,batch1,625.0,False,-6.954996550865206,2.096809444670729,-4.567274387761513,0.7191102130248269,5.0,-3.4983961847997405,-1.27128070015718,-3.5780341286818427,-1.3133696081944646,-6.246733457023401e-06,1.086007888456813,-5.75043471350889e-06,0.9997252970518655,0.9985682675319107,1.0000070613907477,4.55462371472109e-05,5.866666666666666,4.0
b1c40,batch1,966.0,False,-6.4322160137846405,1.8097027135548138,-4.88918103639166,0.9467925198408528,4.425690892403732,-4.085090968316658,-1.5544143466419909,-4.1814239267323785,-1.610492255920158,-1.1177786023500877e-05,1.0875257266831575,-1.0276782479433745e-05,0.9998639543119939,0.9982178478711032,0.9998466786956889,4.266094982650901e-05,5.485714285714286,4.0
b1c41,batch1,1051.0,False,-6.228695426144677,1.7128695515358792,-4.071644879035532,0.462006905861558,5.0,-4.015879665227926,-0.8867884974462196,-4.096425009794477,-0.9226974192030953,-3.006238713673758e-06,1.0830706676693465,-2.7742531670197184e-06,0.9994922280193621,0.9986415913535812,0.9999528476321635,4.310471200728783e-05,5.485714285714286,4.0
b1c42,batch1,702.0,False,-7.049268918495801,2.108560941899393,-4.217185412321677,0.4359273886889187,5.0,-3.65766820294529,-1.3536276220184156,-3.7338411590851375,-1.3935055290739087,-7.647668522011615e-07,1.083960125331684,-7.052323371905117e-07,0.9995774926812687,0.9988793069980466,0.9999504434455411,4.7655405376962586e-05,6.044444444444444,4.0
b1c43,batch1,651.0,False,-6.56910284573095,1.9570271658330682,-6.606421531357256,2.026139507007269,2.9156193374595913,-3.6601298933476927,-1.3498428618824898,-3.74570352574409,-1.4025148076037992,-2.6458498453926327e-05,1.0718743470575136,-2.469049828824884e-05,1.0002499490788024,0.997362557991203,1.0001286297085197,3.897413282446571e-05,6.044444444444444,4.0
b1c44,batch1,616.0,False,-6.525867215761422,1.9819522868641746,-6.514421511760825,2.0531853503009008,2.8324045398884876,-3.4166430510347894,-1.2344963423936774,-3.524122588295736,-1.2934458127135866,-3.6137384044533415e-05,1.088681828808493,-3.320570544033495e-05,1.000361511533609,0.9967120847745874,1.0000359455068253,3.890551003444438e-05,6.399999999999999,4.0
b1c45,batch1,599.0,False,-7.464405855081925,2.3333482597746493,-6.229259264733083,1.679866307414299,3.2921008273030092,-3.411295125220213,-1.2343700667214461,-3.500804910169772,-1.281836603726646,-1.5716660482375315e-05,1.0879785365532875,-1.4447499649192489e-05,1.0001214661861153,0.9981151750835411,1.0002344494520965,4.904288109594986e-05,6.399999999999999,4.0
b2c0,batch2,300.0,False,-5.137384214472607,1.7882197206014776,-5.633487525532677,2.0956542307511303,2.3546429791655155,-2.7740122283153403,-0.9062359786902143,-2.987463453876469,-0.9819953891422496,-0.0003544652393320991,1.0788870171049263,-0.00033028470009640145,1.0052886301456099,0.9676119667778345,1.000066170222644,0.0028904319961487387,5.166666666666667,4.0
b2c1,batch2,148.0,False,-3.862839597154493,1.430637613340617,-3.829102946206812,1.4086733105177136,2.2220431937625134,-2.7344165050448277,-0.8613526391997303,-3.215168309526944,-1.1197766021840336,-0.0011010453463203484,1.083783727611832,-0.001027026997124115,1.0109257997602137,0.9024361550849501,0.9991810625573251,0.0003988557207018667,4.666666666666667,4.0
b2c2,batch2,438.0,False,-6.265276904941712,1.9803309348444964,-4.069229291706714,0.6464074520815372,5.0,-3.710776799865252,-1.3661305874647722,-3.788062940048914,-1.4015881479689132,-1.646536301793394e-05,1.0789369112916918,-1.525093276680642e-05,0.9993581238271483,0.9966363473260605,1.0006758667234568,4.724419063128142e-05,4.7272727272727275,4.0
b2c3,batch2,335.0,False,-5.643607948782422,1.952682925599248,-6.286163680614807,2.3447963849630256,2.3828054803005387,-2.904523340903771,-0.9824732612883291,-3.0804131650289763,-1.0609202084053055,-0.00023258423252937407,1.0725821433337452,-0.00021765894511110957,1.003752899859846,0.9792605439091183,1.0006463150157083,0.00011040011591507471,4.592592592592592,4.0
b2c4,batch2,444.0,False,-5.874358980434637,1.904848905818528,-6.464063294124941,2.2540988008672787,2.557604523621931,-3.446222707203854,-1.2299045427324256,-3.6224509469225774,-1.3305731259154003,-0.00011030778726036257,1.0774286506856314,-0.00010256016664000965,1.0017539532020516,0.9900530169806449,1.0006353136227064,5.465599920317362e-05,4.504761904761905,4.0
b2c5,batch2,480.0,False,-6.720254373559721,2.1066578102696614,-4.022715882545357,0.4764858650041948,5.0,-3.589767336838676,-1.28572801436751,-3.656165759445338,-1.3171986221427114,-4.291205936923636e-06,1.0722157828159138,-3.9995905877062125e-06,0.9993517477315356,0.9979809141724951,1.000468159160617,2.6773698176137146e-05,4.736363636363636,4.0
b2c6,batch2,511.0,False,-4.836220560618529,1.5161113807556743,-6.016658101710113,2.198621413074353,2.418646550857667,-3.27870917174421,-1.1581186752074828,-3.524253913636179,-1.3033521411814626,-0.00021969849845393177,1.0757558830171097,-0.00020486400876933215,1.0031186567180372,0.9807252142228253,1.000445915752449,7.323470872058473e-05,4.5600000000000005,4.0
b2c10,batch2,561.0,False,-6.139850099681861,1.9330119160143395,-6.317876643023705,2.019801679072054,2.7819100740965563,-3.608244018198626,-1.3281748162117146,-3.743086023578691,-1.4097546292854426,-6.425434879406335e-05,1.0747863647177895,-5.9837681641927374e-05,1.0009085070831747,0.9936397547873425,1.0006703643621186,4.766587224193095e-05,4.56551724137931,4.0
b2c11,batch2,477.0,False,-6.715090364534829,2.187259422280899,-5.826342660035429,1.6456461956848214,3.1157199336918824,-3.6021352177075885,-1.3151664870861384,-3.7239184069759554,-1.381467357656532,-4.529234013606083e-05,1.0765122012661308,-4.210058138936344e-05,1.0006502072954992,0.9950788831550325,1.000950654315063,6.217904865758225e-05,4.6060606060606055,4.0
b2c12,batch2,458.0,False,-5.408540404741954,1.7363572989770453,-6.2740023163840135,2.2450783388271556,2.4832239550983464,-3.356104906072436,-1.1873369304076606,-3.562606358776048,-1.3061013649551136,-0.0001520699839208418,1.0765985792809727,-0.00014156501073429287,1.0022273002394073,0.9865755730278922,1.0000502477105488,0.00013479259178633514,4.0,4.0
b2c13,batch2,483.0,False,-5.612983747757965,1.7777372925977997,-6.754190233711611,2.446440823223961,2.4751141216634545,-3.2425147104081695,-1.1398502389734944,-3.3868872204916656,-1.233903622676376,-0.00012496737043908205,1.0852528773065342,-0.00011538003915551341,1.0019937127372054,0.9890791515229296,1.0001395189508187,0.00019092969272112715,4.666666666666666,4.0
b2c14,batch2,485.0,False,-7.038384660726106,2.2349968470177495,-4.430710051894475,0.6576742431569342,5.0,-3.488731202735628,-1.2662301162367193,-3.5655263685399365,-1.3061499166229031,-6.789208410638071e-06,1.0824527920531846,-6.26980462861397e-06,0.9996404757934556,0.9981424807919825,1.000141474123214,0.00012180703853312025,4.708333333333333,4.0
b2c17,batch2,494.0,False,-6.0852770156665175,1.8685860534797243,-2.9769985392546436,-0.044394260911127026,5.0,-3.4738658476521813,-1.285120386781434,-3.5293729221475933,-1.312360078008588,1.4787141620281294e-05,1.0740384971915067,1.3738241958793561e-05,0.997853481516548,0.9967965777639575,1.000336618524423,0.0008224137033687488,4.672727272727273,4.0
b2c18,batch2,487.0,False,-5.790237964722988,1.8249552519970151,-5.942316215782423,1.9147427420230654,2.7384076703204663,-3.7415643530121607,-1.3822764179452212,-3.9094652593676824,-1.477997346031098,-8.587356338899829e-05,1.0685204598136464,-8.046161838263988e-05,1.0011798984294065,0.9920493689829633,0.9999264135485845,0.0001412647018292347,4.728358208955225,4.0
b2c19,batch2,461.0,False,-4.547637677299889,1.3549472693932683,-4.8616083395174075,1.5526783182397308,2.680940595538531,-3.3554622390075592,-1.2139799753281226,-3.499108791518367,-1.2885385296341327,-0.00018045457142857764,1.0512164376883115,-0.00017197845832921002,1.001839858601275,0.9842131682127816,0.9999978206232895,0.0001933638976914554,4.826666666666667,4.0
b2c20,batch2,502.0,False,-6.587632397153012,2.07216533842716,-4.199619866434788,0.6334079626276496,5.0,-3.5874027569844062,-1.2069956054420508,-3.665478537751719,-1.2446253725504506,-1.0060541743972484e-05,1.0885016351036896,-9.236864659099533e-06,0.9993837847435132,0.9973260441318402,1.0002328299588814,0.0001513682279513837,4.7214285714285715,4.0
b2c21,batch2,489.0,False,-6.497695136604006,2.0836146095729546,-6.088586819487142,1.8447012300549273,2.921674647005382,-3.353142532158471,-1.1938323624238973,-3.4519815539136802,-1.2425809239887247,-4.755366110080631e-05,1.0823034043929083,-4.3958835050960415e-05,1.0004865183344223,0.9952322895354321,1.0002265100091137,3.704533743065689e-05,4.7525641025641026,4.0
b2c22,batch2,513.0,False,-6.590693550097506,2.0615302373651696,-4.470755668905243,0.7793240420427969,4.839816893987334,-3.5640298082523265,-1.2587040428062262,-3.6446222296970654,-1.2959948777006842,-1.1882797773654862e-05,1.084835928747062,-1.0948640093339009e-05,0.9995523251694216,0.9974397455206374,1.0000957855555943,4.163614692942444e-05,4.759375,4.0
b2c23,batch2,527.0,False,-6.011775920615938,1.8621463038054498,-6.76941448778356,2.3253373320307076,2.6105650994499996,-3.4543446607866652,-1.2308767613267102,-3.5714996433904207,-1.276507408839314,-6.972020655535339e-05,1.0790413446757368,-6.46782642113676e-05,1.0010085258499264,0.993685631541674,1.0002620365861115,3.314052483552841e-05,4.953370786516855,4.0
b2c24,batch2,495.0,False,-6.374257627808809,1.949156060014492,-3.473269089044405,0.21488256461159683,5.0,-3.784748483978674,-1.1648372958866846,-3.845471392783439,-1.1949090542153693,-1.0897588126258526e-07,1.072123560800247,-1.015427394920167e-07,0.9989950269387723,0.9979581665000469,1.000231031065367,3.5634912117183816e-05,4.8,4.0
b2c25,batch2,461.0,False,-6.663795899230352,2.1471452313658643,-5.443045992045466,1.414832209471576,3.3531014886078303,-3.5974149699514033,-1.2811604887576624,-3.6890043845222382,-1.3166910582524851,-3.412685466914333e-05,1.072296886759843,-3.1834990064425226e-05,1.0002844114133715,0.9959654549660817,1.000196908240812,3.5377750273503735e-05,4.8,4.0
b2c26,batch2,471.0,False,-6.541296006580118,2.109580286544063,-5.637404290239957,1.5643297517553447,3.15690108198894,-3.55672497148218,-1.282797040350242,-3.6745634838208066,-1.3458431995985392,-4.194623747681148e-05,1.0828524318486907,-3.875224991245223e-05,1.0003988577164968,0.9951594606422439,1.0000879744698015,3.779817270124969e-05,4.8,4.0
b2c27,batch2,468.0,False,-6.733091098310462,2.1282316861714032,-3.9524135364457686,0.43533550877718963,5.0,-3.773766304907674,-1.402840694226965,-3.839160096574176,-1.4365564275046958,-3.517157699443889e-06,1.0708811679719645,-3.2819890700236903e-06,0.9992785620997037,0.997769243309153,1.000213548087842,0.00012446901200807915,4.836170212765959,4.0
b2c28,batch2,509.0,False,-6.833705807891992,2.1122617672224395,-3.488363551521484,0.08822270998150344,5.0,-3.7968928580064665,-1.4196950380330295,-3.844079458324037,-1.4430227264847098,4.903245516392036e-06,1.0765758102362393,4.550362197739982e-06,0.9990953652072018,0.9984752456172361,1.0008681319454231,0.0017993148465771324,4.8012345679012345,4.0
b2c29,batch2,498.0,False,-6.6371180977394815,1.9859558250561458,-1.2090839996633138,-1.4107026535662635,5.0,-3.6380183046509,-1.3523734013224007,-3.6742239171732183,-1.362251296385227,2.981738899195722e-05,1.0768058283129247,2.7633463841020105e-05,0.9979369732377001,0.9995375484265108,1.0004689293288325,4.728103160331032e-05,4.753932584269664,4.0
b2c30,batch2,481.0,False,-6.7404379003203605,2.1106729586294337,-3.3883311955704762,0.06604354333186468,5.0,-3.730687917342036,-1.3811206974180492,-3.7887167410149694,-1.4098282007489231,5.358942486080027e-06,1.0719448646402803,4.993995293237082e-06,0.9989447773564477,0.9982633122761346,1.000165222797715,0.00016816877085089639,4.9,4.0
b2c31,batch2,492.0,False,-6.928767005641815,2.1557645447725164,-3.248205081524361,-0.07656485185334666,5.0,-3.744779740372311,-1.3873078937182883,-3.8039605830570875,-1.4162051512662803,8.944904143471112e-06,1.0788477209997935,8.282585534673813e-06,0.9989652638805339,0.9986507898587844,1.00014872231803,0.0001271494221784901,4.95438596491228,4.0
b2c32,batch2,519.0,False,-6.963482651415254,2.119664472420062,-2.7568839002179883,-0.38103287607282155,5.0,-3.6709723293370997,-1.354817343966888,-3.728881207269957,-1.3832802540237013,1.392701669758535e-05,1.0791403241686246,1.2888241210715273e-05,0.9986504001611557,0.9984428076768925,0.9996517110892008,0.0005049327109382731,4.928571428571429,4.0
b2c33,batch2,520.0,False,-7.134711822578499,2.1756601219254943,-2.3824377005763546,-0.6981074293012288,5.0,-3.6096818739155614,-1.3351147571404858,-3.660339999206281,-1.3573038150479917,1.7065502782927268e-05,1.0837891664287773,1.5725860738983346e-05,0.9987117120703021,0.9993302538032147,1.000020521177436,0.0002920685025015327,4.892307692307692,4.0
b2c34,batch2,499.0,False,-6.954368358751397,2.1221188156035753,-2.684081052233597,-0.4418861201226395,5.0,-3.7571572294244002,-1.390469230565193,-3.8029216577457303,-1.412240618622197,1.5379794681509843e-05,1.0740644850166974,1.4299610671175638e-05,0.9986286741487084,0.9991781798044777,1.0000015886785467,0.0004537412789003088,4.804651162790697,4.0
